CustomerID,total_spend,visit_count,repetitiveness
12346.0,0.0,2,repetitive
12347.0,4310.0,7,repetitive
12348.0,1797.24,4,repetitive
12349.0,1757.55,1,single
12350.0,334.4,1,single
12352.0,1545.41,11,repetitive
12353.0,89.0,1,single
12354.0,1079.4,1,single
12355.0,459.4,1,single
12356.0,2811.43,3,repetitive
12357.0,6207.67,1,single
12358.0,1168.06,2,repetitive
12359.0,6245.53,6,repetitive
12360.0,2662.06,3,repetitive
12361.0,189.9,1,single
12362.0,5154.58,13,repetitive
12363.0,552.0,2,repetitive
12364.0,1313.1,4,repetitive
12365.0,320.69,3,repetitive
12367.0,168.9,1,single
12370.0,3545.69,4,repetitive
12371.0,1887.96,2,repetitive
12372.0,1298.04,3,repetitive
12373.0,364.6,1,single
12374.0,742.93,1,single
12375.0,455.42,3,repetitive
12377.0,1628.12,2,repetitive
12378.0,4008.62,1,single
12379.0,850.29,3,repetitive
12380.0,2720.56,5,repetitive
12381.0,1803.96,6,repetitive
12383.0,1839.31,6,repetitive
12384.0,566.16,3,repetitive
12386.0,401.9,2,repetitive
12388.0,2780.66,6,repetitive
12390.0,549.84,1,single
12391.0,460.89,1,single
12393.0,1582.6,4,repetitive
12394.0,1272.48,2,repetitive
12395.0,2998.28,15,repetitive
12397.0,2409.9,2,repetitive
12398.0,1635.66,1,single
12399.0,1108.65,4,repetitive
12401.0,84.3,1,single
12402.0,225.6,1,single
12403.0,409.7,2,repetitive
12405.0,1710.39,1,single
12406.0,3280.75,3,repetitive
12407.0,1708.12,5,repetitive
12408.0,2842.57,9,repetitive
12409.0,11056.93,7,repetitive
12410.0,681.08,3,repetitive
12412.0,1226.88,3,repetitive
12413.0,694.15,5,repetitive
12414.0,562.41,3,repetitive
12415.0,123725.45,25,repetitive
12417.0,3578.8,12,repetitive
12418.0,668.58,1,single
12420.0,600.39,1,single
12421.0,806.27,5,repetitive
12422.0,803.56,3,repetitive
12423.0,1849.11,9,repetitive
12424.0,1760.96,1,single
12425.0,777.2,1,single
12426.0,582.73,1,single
12427.0,708.37,5,repetitive
12428.0,7877.2,12,repetitive
12429.0,3750.4,4,repetitive
12430.0,256.4,1,single
12431.0,6416.39,18,repetitive
12432.0,5059.32,5,repetitive
12433.0,13375.87,7,repetitive
12434.0,765.19,4,repetitive
12435.0,7829.89,2,repetitive
12436.0,509.01,1,single
12437.0,4896.66,19,repetitive
12438.0,2906.85,2,repetitive
12441.0,173.55,1,single
12442.0,172.06,1,single
12444.0,5005.46,5,repetitive
12445.0,133.4,1,single
12446.0,1002.31,1,single
12447.0,476.49,1,single
12448.0,449.45,1,single
12449.0,4067.29,4,repetitive
12450.0,197.88,2,repetitive
12451.0,8933.52,6,repetitive
12452.0,428.57,3,repetitive
12453.0,707.09,1,single
12454.0,0.0,2,repetitive
12455.0,2466.86,6,repetitive
12456.0,3153.89,4,repetitive
12457.0,1917.78,11,repetitive
12458.0,947.4,2,repetitive
12461.0,826.88,2,repetitive
12462.0,1124.01,4,repetitive
12463.0,1303.63,7,repetitive
12464.0,1212.05,8,repetitive
12465.0,733.89,3,repetitive
12468.0,724.04,3,repetitive
12471.0,18740.92,49,repetitive
12472.0,6229.48,13,repetitive
12473.0,2848.23,9,repetitive
12474.0,7116.47,30,repetitive
12475.0,723.38,1,single
12476.0,6546.58,20,repetitive
12477.0,13117.01,9,repetitive
12478.0,680.99,1,single
12479.0,477.3,3,repetitive
12480.0,3281.63,4,repetitive
12481.0,5590.86,11,repetitive
12483.0,2327.13,13,repetitive
12484.0,4495.27,8,repetitive
12488.0,1298.66,3,repetitive
12489.0,334.93,1,single
12490.0,5417.93,10,repetitive
12491.0,460.4,1,single
12492.0,263.21,2,repetitive
12493.0,416.79,3,repetitive
12494.0,1139.35,12,repetitive
12497.0,1043.1,1,single
12498.0,403.7,3,repetitive
12500.0,4206.27,13,repetitive
12501.0,2089.68,2,repetitive
12502.0,3723.87,5,repetitive
12503.0,-1126.0,1,single
12504.0,114.0,4,repetitive
12505.0,-4.5,1,single
12506.0,73.5,1,single
12507.0,1258.06,4,repetitive
12508.0,398.27,2,repetitive
12509.0,176.5,1,single
12510.0,982.57,2,repetitive
12512.0,138.03,2,repetitive
12513.0,586.79,2,repetitive
12514.0,1017.68,1,single
12515.0,383.7,1,single
12516.0,1312.06,2,repetitive
12517.0,2464.89,6,repetitive
12518.0,2056.89,5,repetitive
12519.0,340.84,1,single
12520.0,2582.51,6,repetitive
12521.0,599.68,1,single
12522.0,192.72,2,repetitive
12523.0,1745.57,13,repetitive
12524.0,4485.72,8,repetitive
12526.0,1316.66,3,repetitive
12527.0,348.71,3,repetitive
12528.0,1922.28,8,repetitive
12530.0,1623.63,5,repetitive
12531.0,125.22,1,single
12532.0,349.83,1,single
12534.0,1089.18,1,single
12535.0,716.35,2,repetitive
12536.0,4106.82,5,repetitive
12538.0,363.95,1,single
12539.0,3852.5,5,repetitive
12540.0,13309.04,19,repetitive
12541.0,981.18,3,repetitive
12544.0,355.7,2,repetitive
12545.0,1000.39,2,repetitive
12546.0,1141.5,3,repetitive
12547.0,207.8,2,repetitive
12548.0,95.2,1,single
12550.0,964.83,1,single
12551.0,168.0,1,single
12552.0,437.82,2,repetitive
12553.0,3652.25,14,repetitive
12556.0,603.71,2,repetitive
12557.0,11990.96,5,repetitive
12558.0,0.0,2,repetitive
12559.0,536.21,3,repetitive
