Description,sale_amount
DOTCOM POSTAGE,206245.48
REGENCY CAKESTAND 3 TIER,164762.19
WHITE HANGING HEART T-LIGHT HOLDER,99668.47
PARTY BUNTING,98302.98
JUMBO BAG RED RETROSPOT,92356.03
RABBIT NIGHT LIGHT,66756.59
POSTAGE,66230.64
PAPER CHAIN KIT 50'S CHRISTMAS,63791.94
ASSORTED COLOUR BIRD ORNAMENT,58959.73
CHILLI LIGHTS,53768.06
SPOTTY BUNTING,42065.32
JUMBO BAG PINK POLKADOT,41619.66
BLACK RECORD COVER FRAME,40596.96
PICNIC BASKET WICKER 60 PIECES,39619.5
SET OF 3 CAKE TINS PANTRY DESIGN,37413.44
DOORMAT KEEP CALM AND COME IN,36565.39
JAM MAKING SET WITH JARS,36116.09
WOOD BLACK BOARD ANT WHITE FINISH,35859.27
LUNCH BAG RED RETROSPOT,34897.31
POPCORN HOLDER,33969.46
HOT WATER BOTTLE TEA AND SYMPATHY,32692.49
VICTORIAN GLASS HANGING T-LIGHT,32549.57
JUMBO BAG STRAWBERRY,32354.04
CHOCOLATE HOT WATER BOTTLE,32317.3
PAPER CHAIN KIT VINTAGE CHRISTMAS,31941.89
HEART OF WICKER SMALL,31899.85
SET OF 3 REGENCY CAKE TINS,30756.45
ALARM CLOCK BAKELIKE RED,30423.62
JUMBO STORAGE BAG SUKI,30167.79
HEART OF WICKER LARGE,29949.91
JUMBO BAG APPLES,29166.4
CHARLOTTE BAG SUKI DESIGN,29164.36
HOT WATER BOTTLE KEEP CALM,28424.95
JUMBO SHOPPER VINTAGE RED PAISLEY,28012.48
NATURAL SLATE HEART CHALKBOARD,27995.36
ROSES REGENCY TEACUP AND SAUCER,27944.92
DOORMAT RED RETROSPOT,27621.32
JUMBO  BAG BAROQUE BLACK WHITE,27581.32
ALARM CLOCK BAKELIKE GREEN,27039.03
JUMBO BAG ALPHABET,26814.15
RED  HARMONICA IN BOX,26247.83
ROTATING SILVER ANGELS T-LIGHT HLDR,26142.23
RECIPE BOX PANTRY YELLOW DESIGN,25819.55
SPACEBOY LUNCH BOX,25647.77
DOORMAT UNION FLAG,25512.1
JAM MAKING SET PRINTED,25235.23
PLEASE ONE PERSON METAL SIGN,25120.88
REGENCY TEAPOT ROSES,24482.53
SET OF 6 SPICE TINS PANTRY DESIGN,24365.66
ROUND SNACK BOXES SET OF4 WOODLAND,24317.67
VINTAGE UNION JACK BUNTING,24304.83
DOORMAT NEW ENGLAND,24261.04
SCOTTIE DOG HOT WATER BOTTLE,23965.39
BAKING SET 9 PIECE RETROSPOT,23928.62
